Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Inf ref/pr not say,Difference,Female real
2019,Aberdeen and Aberdeenshire,NE Scotland Col,76,9,0,0,9
2019,Dundee and Angus,Dundee & Angus Col,31,5,1,0,5
2019,Edinburgh and Lothians,Edinburgh College,54,6,1,0,6
2019,Fife,Fife College,58,8,1,0,8
2019,Forth Valley,Forth Valley Col,20,0,1,0,0
2019,Glasgow,City of Glasg Coll,79,12,0,0,12
2019,Glasgow,Glasgow Clyde Col,94,15,0,0,15
2019,Lanarkshire,New Col Lanarkshir,17,5,0,4,1
2019,West,West College Scot.,20,0,0,0,0
2019,West Lothian,West Lothian Coll,15,5,0,3,2
2018,Aberdeen and Aberdeenshire,NE Scotland Col,85,12,0,0,12
2018,Dundee and Angus,Dundee & Angus Col,40,5,1,0,5
2018,Edinburgh and Lothians,Edinburgh College,60,5,2,0,5
2018,Fife,Fife College,47,5,0,1,4
2018,Forth Valley,Forth Valley Col,32,5,0,4,1
2018,Glasgow,City of Glasg Coll,99,10,0,0,10
2018,Glasgow,Glasgow Clyde Col,99,13,0,0,13
2018,Lanarkshire,New Col Lanarkshir,21,0,0,0,0
2018,West,West College Scot.,14,5,0,3,2
2018,West Lothian,West Lothian Coll,16,5,0,4,1
2017,Aberdeen and Aberdeenshire,NE Scotland Col,86,7,0,0,7
2017,Dundee and Angus,Dundee & Angus Col,45,5,0,1,4
2017,Edinburgh and Lothians,Edinburgh College,65,12,0,0,12
2017,Fife,Fife College,54,5,0,1,4
2017,Forth Valley,Forth Valley Col,29,5,0,3,2
2017,Glasgow,City of Glasg Coll,118,11,0,0,11
2017,Glasgow,Glasgow Clyde Col,115,18,0,0,18
2017,Lanarkshire,New Col Lanarkshir,37,5,0,3,2
2017,West,West College Scot.,21,5,0,4,1
2017,West Lothian,West Lothian Coll,11,5,0,4,1
2016,Aberdeen and Aberdeenshire,NE Scotland Col,76,8,0,0,8
2016,Dundee and Angus,Dundee & Angus Col,50,8,0,0,8
2016,Edinburgh and Lothians,Edinburgh College,51,8,0,0,8
2016,Fife,Fife College,51,5,0,0,5
