Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Inf ref/pr not say,Difference,Female real,PERCENTAGE OF FEMALES:female/male * 100,PER_FEM,College chosen,POSTCODE,LATITUDE,LONGITUDE,TYPE,local_authority
2019,Glasgow,City of Glasg Coll,79,12,0,0,12,13.19,13.19,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2019,Dundee and Angus,Dundee & Angus Col,31,5,1,0,5,13.89,13.89,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2019,Edinburgh and Lothians,Edinburgh College,54,6,1,0,6,10.00,10.00,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2019,Fife,Fife College,58,8,1,0,8,12.12,12.12,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2019,Forth Valley,Forth Valley Col,20,0,1,0,0,0.00,0.00,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2019,Glasgow,Glasgow Clyde Col,94,15,0,0,15,13.76,13.76,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2019,Aberdeen and Aberdeenshire,NE Scotland Col,76,9,0,0,9,10.59,10.59,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2019,Lanarkshire,New Col Lanarkshir,17,5,0,4,1,5.56,5.56,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2019,West,West College Scot.,20,0,0,0,0,0.00,0.00,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2019,West Lothian,West Lothian Coll,15,5,0,3,2,11.76,11.76,West Lothian College,EH54 7EP,55.88416975,-3.524881151,college,West Lothian
2018,Glasgow,City of Glasg Coll,99,10,0,0,10,9.17,9.17,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2018,Dundee and Angus,Dundee & Angus Col,40,5,1,0,5,11.11,11.11,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2018,Edinburgh and Lothians,Edinburgh College,60,5,2,0,5,7.69,7.69,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2018,Fife,Fife College,47,5,0,1,4,7.84,7.84,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2018,Forth Valley,Forth Valley Col,32,5,0,4,1,3.03,3.03,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2018,Glasgow,Glasgow Clyde Col,99,13,0,0,13,11.61,11.61,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2018,Aberdeen and Aberdeenshire,NE Scotland Col,85,12,0,0,12,12.37,12.37,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2018,Lanarkshire,New Col Lanarkshir,21,0,0,0,0,0.00,0.00,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2018,West,West College Scot.,14,5,0,3,2,12.50,12.50,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2018,West Lothian,West Lothian Coll,16,5,0,4,1,5.88,5.88,West Lothian College,EH54 7EP,55.88416975,-3.524881151,college,West Lothian
2017,Glasgow,City of Glasg Coll,118,11,0,0,11,8.53,8.53,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2017,Dundee and Angus,Dundee & Angus Col,45,5,0,1,4,8.16,8.16,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2017,Edinburgh and Lothians,Edinburgh College,65,12,0,0,12,15.58,15.58,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2017,Fife,Fife College,54,5,0,1,4,6.90,6.90,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2017,Forth Valley,Forth Valley Col,29,5,0,3,2,6.45,6.45,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2017,Glasgow,Glasgow Clyde Col,115,18,0,0,18,13.53,13.53,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
