Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Difference,Female real,PERCENTAGE OF FEMALES:female/male * 100,PER_FEM,College chosen,POSTCODE,LATITUDE,LONGITUDE,TYPE,local_authority
2011,Dundee and Angus,Angus College,9,5,3,2,18.18,18.18,Angus College,DD11 3EA,56.5593734,-2.594942199,college,Angus
2012,Dundee and Angus,Angus College,12,5,1,4,25.00,25.00,Angus College,DD11 3EA,56.5593734,-2.594942199,college,Angus
2013,Dundee and Angus,Angus College,8,5,1,4,33.33,33.33,Angus College,DD11 3EA,56.5593734,-2.594942199,college,Angus
2013,Ayrshire,Ayrshire C. Kilw.,15,5,2,3,16.67,16.67,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2014,Ayrshire,Ayrshire College,7,5,2,3,30.00,30.00,Ayr Campus,KA8 0EU,55.45840775,-4.611970264,college,South Ayrshire
2007,Glasgow,Central C. of Comm,15,5,2,3,16.67,16.67,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2008,Glasgow,Central Glasgow,12,5,1,4,25.00,25.00,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2009,Glasgow,Central Glasgow,13,5,0,5,27.78,27.78,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2011,Glasgow,City of Glasg Coll,11,5,3,2,15.38,15.38,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2012,Glasgow,City of Glasg Coll,17,7,0,7,29.17,29.17,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2013,Glasgow,City of Glasg Coll,69,13,0,13,15.85,15.85,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2014,Glasgow,City of Glasg Coll,59,16,0,16,21.33,21.33,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2015,Glasgow,City of Glasg Coll,45,13,0,13,22.41,22.41,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2016,Glasgow,City of Glasg Coll,35,5,0,5,12.50,12.50,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2017,Glasgow,City of Glasg Coll,31,6,0,6,16.22,16.22,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2018,Glasgow,City of Glasg Coll,29,6,0,6,17.14,17.14,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2019,Glasgow,City of Glasg Coll,41,14,0,14,25.45,25.45,Central College,G4 0RF,55.8631845,-4.246918,college,Glasgow City
2005,Dundee and Angus,Dundee College,28,11,0,11,28.21,28.21,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2006,Dundee and Angus,Dundee College,15,5,0,5,25.00,25.00,Dundee College,DD3 8LE,56.4845951,-2.976653571,college,Dundee City
2006,Edinburgh and Lothians,Edin Telford Col,7,5,3,2,22.22,22.22,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2007,Edinburgh and Lothians,Edin Telford Col,9,5,3,2,18.18,18.18,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2008,Edinburgh and Lothians,Edin Telford Col,11,5,4,1,8.33,8.33,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2013,Edinburgh and Lothians,Edinburgh College,56,12,0,12,17.65,17.65,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2014,Edinburgh and Lothians,Edinburgh College,47,11,0,11,18.97,18.97,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2015,Edinburgh and Lothians,Edinburgh College,35,7,0,7,16.67,16.67,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2016,Edinburgh and Lothians,Edinburgh College,38,15,0,15,28.30,28.30,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2017,Edinburgh and Lothians,Edinburgh College,33,9,0,9,21.43,21.43,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2018,Edinburgh and Lothians,Edinburgh College,42,7,0,7,14.29,14.29,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2019,Edinburgh and Lothians,Edinburgh College,33,5,0,5,13.16,13.16,Granton Campus,EH5 1QE,55.977335,-3.2471568,college,City of Edinburgh
2015,Fife,Fife College,27,5,0,5,15.63,15.63,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2016,Fife,Fife College,18,5,0,5,21.74,21.74,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2017,Fife,Fife College,10,6,6,0,0.00,0.00,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2018,Fife,Fife College,21,5,0,5,19.23,19.23,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2019,Fife,Fife College,9,5,2,3,25.00,25.00,Dunfermline Campus,KY11 8DY,56.0762008,-3.4101548,college,Fife
2006,Forth Valley,Forth Valley College,12,6,0,6,33.33,33.33,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2007,Forth Valley,Forth Valley College,18,7,0,7,28.00,28.00,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2008,Forth Valley,Forth Valley College,5,5,5,0,0.00,0.00,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2009,Forth Valley,Forth Valley College,5,5,4,1,16.67,16.67,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2005,Forth Valley,Forth Valley College,21,9,0,9,30.00,30.00,Stirling Campus,FK8 1SE,56.13294865,-3.960350436,college,Stirling
2015,Glasgow,Glasgow Clyde Col,11,5,4,1,8.33,8.33,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2017,Glasgow,Glasgow Clyde Col,12,5,1,4,25.00,25.00,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2018,Glasgow,Glasgow Clyde Col,16,5,3,2,11.11,11.11,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2019,Glasgow,Glasgow Clyde Col,9,0,0,0,0.00,0.00,Cardonald College,G52 3AY,55.8406009,-4.337059787,college,Glasgow City
2005,West,James Watt College,9,0,0,0,0.00,0.00,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2006,Ayrshire,James Watt College of Further & Higher Education,23,5,0,5,17.86,17.86,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2006,West,James Watt College,20,5,2,3,13.04,13.04,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2007,Ayrshire,James Watt College of Further & Higher Education,29,5,1,4,12.12,12.12,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2007,West,James Watt College,17,0,0,0,0.00,0.00,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
